name,common_name
http://bio2rdf.org/omim:123100,CRANIOSYNOSTOSIS 1; CRS1
http://bio2rdf.org/omim:123150,JACKSON-WEISS SYNDROME; JWS
http://bio2rdf.org/omim:123500,CROUZON SYNDROME
http://bio2rdf.org/omim:123790,BEARE-STEVENSON CUTIS GYRATA SYNDROME; BSTVS
http://bio2rdf.org/omim:124000,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1; MC3DN1"
http://bio2rdf.org/omim:125850,"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 1; MODY1"
http://bio2rdf.org/omim:125852,"DIABETES MELLITUS, INSULIN-DEPENDENT, 2"
http://bio2rdf.org/omim:125853,"DIABETES MELLITUS, NONINSULIN-DEPENDENT; NIDDM"
http://bio2rdf.org/omim:126600,DOYNE HONEYCOMB RETINAL DYSTROPHY; DHRD
http://bio2rdf.org/omim:126700,BASAL LAMINAR DRUSEN
http://bio2rdf.org/omim:128100,"DYSTONIA 1, TORSION, AUTOSOMAL DOMINANT; DYT1"
http://bio2rdf.org/omim:128230,"DYSTONIA, DOPA-RESPONSIVE; DRD"
http://bio2rdf.org/omim:128235,DYSTONIA 12; DYT12
http://bio2rdf.org/omim:129400,RAPP-HODGKIN SYNDROME; RHS
http://bio2rdf.org/omim:130000,"EHLERS-DANLOS SYNDROME, CLASSIC TYPE"
http://bio2rdf.org/omim:130010,
http://bio2rdf.org/omim:130020,"EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE"
http://bio2rdf.org/omim:130050,"EHLERS-DANLOS SYNDROME, TYPE IV, AUTOSOMAL DOMINANT"
http://bio2rdf.org/omim:130060,"EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL DOMINANT"
http://bio2rdf.org/omim:130070,"EHLERS-DANLOS SYNDROME, PROGEROID TYPE, 1; EDSP1"
http://bio2rdf.org/omim:132600,PILOMATRIXOMA
http://bio2rdf.org/omim:132900,"AORTIC ANEURYSM, FAMILIAL THORACIC 4; AAT4"
http://bio2rdf.org/omim:136880,FUNDUS ALBIPUNCTATUS
http://bio2rdf.org/omim:137192,"GAMMA-AMINOBUTYRIC ACID RECEPTOR, BETA-3; GABRB3"
http://bio2rdf.org/omim:137215,"GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC"
http://bio2rdf.org/omim:137750,"GLAUCOMA 1, OPEN ANGLE, A; GLC1A"
http://bio2rdf.org/omim:137760,"GLAUCOMA, PRIMARY OPEN ANGLE; POAG"
http://bio2rdf.org/omim:137920,RENAL CYSTS AND DIABETES SYNDROME; RCAD
http://bio2rdf.org/omim:138079,GLUCOKINASE; GCK
http://bio2rdf.org/omim:139191,GROWTH HORMONE-RELEASING HORMONE RECEPTOR; GHRHR
http://bio2rdf.org/omim:140350,HAWKINSINURIA
http://bio2rdf.org/omim:141500,"MIGRAINE, FAMILIAL HEMIPLEGIC, 1"
http://bio2rdf.org/omim:141749,FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1; HBFQTL1
http://bio2rdf.org/omim:141750,"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, CHROMOSOME 16-RELATED"
http://bio2rdf.org/omim:141800,HEMOGLOBIN--ALPHA LOCUS 1; HBA1
http://bio2rdf.org/omim:141900,HEMOGLOBIN--BETA LOCUS; HBB
http://bio2rdf.org/omim:142623,"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1; HSCR1"
http://bio2rdf.org/omim:142680,"PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT"
http://bio2rdf.org/omim:143200,WAGNER VITREORETINOPATHY; WGVRP
http://bio2rdf.org/omim:143465,ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD
http://bio2rdf.org/omim:143500,GILBERT SYNDROME
http://bio2rdf.org/omim:143890,"HYPERCHOLESTEROLEMIA, FAMILIAL"
http://bio2rdf.org/omim:144010,"HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT, TYPE B"
http://bio2rdf.org/omim:145260,"PSEUDOHYPOALDOSTERONISM, TYPE IIA; PHA2A"
http://bio2rdf.org/omim:145500,"HYPERTENSION, ESSENTIAL"
http://bio2rdf.org/omim:145600,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1"
http://bio2rdf.org/omim:145900,HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS
http://bio2rdf.org/omim:146110,HYPOGONADOTROPIC HYPOGONADISM 7 WITH OR WITHOUT ANOSMIA; HH7
http://bio2rdf.org/omim:147050,"IgE RESPONSIVENESS, ATOPIC; IGER"
http://bio2rdf.org/omim:147060,"HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL DOMINANT"
http://bio2rdf.org/omim:147480,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1; ICP1"
http://bio2rdf.org/omim:147950,HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA; HH2
http://bio2rdf.org/omim:148820,"WAARDENBURG SYNDROME, TYPE 3; WS3"
http://bio2rdf.org/omim:149400,"HYPEREKPLEXIA, HEREDITARY 1; HKPX1"
http://bio2rdf.org/omim:149730,LACRIMOAURICULODENTODIGITAL SYNDROME; LADD
http://bio2rdf.org/omim:151100,LEOPARD SYNDROME 1; LPRD1
http://bio2rdf.org/omim:151400,"LEUKEMIA, CHRONIC LYMPHOCYTIC; CLL"
http://bio2rdf.org/omim:151623,LI-FRAUMENI SYNDROME 1; LFS1
http://bio2rdf.org/omim:152700,SYSTEMIC LUPUS ERYTHEMATOSUS; SLE
http://bio2rdf.org/omim:153450,LYSOZYME; LYZ
http://bio2rdf.org/omim:153480,BANNAYAN-RILEY-RUVALCABA SYNDROME; BRRS
http://bio2rdf.org/omim:153800,"MACULAR DEGENERATION, AGE-RELATED, 2; ARMD2"
http://bio2rdf.org/omim:154020,"HYPOMAGNESEMIA 2, RENAL; HOMG2"
http://bio2rdf.org/omim:154700,MARFAN SYNDROME; MFS
http://bio2rdf.org/omim:156200,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 1; MRD1"
http://bio2rdf.org/omim:156250,METACHONDROMATOSIS; METCDS
http://bio2rdf.org/omim:157300,"MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 1"
http://bio2rdf.org/omim:157640,"PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 1; PEOA1"
http://bio2rdf.org/omim:158320,MUIR-TORRE SYNDROME; MRTES
http://bio2rdf.org/omim:158350,COWDEN SYNDROME 1; CWS1
http://bio2rdf.org/omim:158590,"NEURONOPATHY, DISTAL HEREDITARY MOTOR, TYPE IIA; HMN2A"
http://bio2rdf.org/omim:159900,MYOCLONIC DYSTONIA
http://bio2rdf.org/omim:160120,"EPISODIC ATAXIA, TYPE 1; EA1"
http://bio2rdf.org/omim:160150,"MYOPATHY, CENTRONUCLEAR, 1; CNM1"
http://bio2rdf.org/omim:160500,"MYOPATHY, DISTAL, 1; MPD1"
http://bio2rdf.org/omim:160980,"CARNEY COMPLEX, TYPE 1; CNC1"
http://bio2rdf.org/omim:161400,NARCOLEPSY 1; NRCLP1
http://bio2rdf.org/omim:161800,NEMALINE MYOPATHY 3; NEM3
http://bio2rdf.org/omim:162200,"NEUROFIBROMATOSIS, TYPE I; NF1"
http://bio2rdf.org/omim:162210,"NEUROFIBROMATOSIS, FAMILIAL SPINAL"
http://bio2rdf.org/omim:162400,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IA; HSAN1A"
http://bio2rdf.org/omim:163500,"NIGHT BLINDNESS, CONGENITAL STATIONARY, AUTOSOMAL DOMINANT 2; CSNBAD2"
http://bio2rdf.org/omim:163950,NOONAN SYNDROME 1; NS1
http://bio2rdf.org/omim:164230,OBSESSIVE-COMPULSIVE DISORDER; OCD
http://bio2rdf.org/omim:164400,SPINOCEREBELLAR ATAXIA 1; SCA1
http://bio2rdf.org/omim:164500,SPINOCEREBELLAR ATAXIA 7; SCA7
http://bio2rdf.org/omim:166710,OSTEOPOROSIS
http://bio2rdf.org/omim:167320,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 1; IBMPFD1
http://bio2rdf.org/omim:167800,"PANCREATITIS, HEREDITARY; PCTT"
http://bio2rdf.org/omim:168600,"PARKINSON DISEASE, LATE-ONSET"
http://bio2rdf.org/omim:168601,"PARKINSON DISEASE 1, AUTOSOMAL DOMINANT; PARK1"
http://bio2rdf.org/omim:169150,"MACULAR DYSTROPHY, PATTERNED, 1; MDPT1"
http://bio2rdf.org/omim:170390,ANDERSEN CARDIODYSRHYTHMIC PERIODIC PARALYSIS
http://bio2rdf.org/omim:170400,"HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1"
http://bio2rdf.org/omim:170500,HYPERKALEMIC PERIODIC PARALYSIS; HYPP
http://bio2rdf.org/omim:172700,PICK DISEASE OF BRAIN
http://bio2rdf.org/omim:172800,PIEBALD TRAIT; PBT
http://bio2rdf.org/omim:172870,PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY; PPCRA
http://bio2rdf.org/omim:173100,"ISOLATED GROWTH HORMONE DEFICIENCY, TYPE II; IGHD2"
http://bio2rdf.org/omim:174900,JUVENILE POLYPOSIS SYNDROME; JPS
http://bio2rdf.org/omim:175100,FAMILIAL ADENOMATOUS POLYPOSIS 1; FAP1
http://bio2rdf.org/omim:176100,PORPHYRIA CUTANEA TARDA
http://bio2rdf.org/omim:176860,"THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT; THPH3"
http://bio2rdf.org/omim:176920,PROTEUS SYNDROME
http://bio2rdf.org/omim:177735,"PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL DOMINANT; PHA1A"
http://bio2rdf.org/omim:177820,PSEUDO-VON WILLEBRAND DISEASE; VWDP
http://bio2rdf.org/omim:179800,"RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL DOMINANT"
http://bio2rdf.org/omim:180020,RETINAL CONE DYSTROPHY 1; RCD1
http://bio2rdf.org/omim:180100,RETINITIS PIGMENTOSA 1; RP1
http://bio2rdf.org/omim:180104,RETINITIS PIGMENTOSA 9; RP9
http://bio2rdf.org/omim:180105,RETINITIS PIGMENTOSA 10; RP10
http://bio2rdf.org/omim:180300,RHEUMATOID ARTHRITIS; RA
http://bio2rdf.org/omim:180960,S-ADENOSYLHOMOCYSTEINE HYDROLASE; AHCY
http://bio2rdf.org/omim:181500,SCHIZOPHRENIA; SCZD
http://bio2rdf.org/omim:182280,SMALL CELL CANCER OF THE LUNG
http://bio2rdf.org/omim:182940,"NEURAL TUBE DEFECTS, SUSCEPTIBILITY TO; NTD"
http://bio2rdf.org/omim:183086,SPINOCEREBELLAR ATAXIA 6; SCA6
http://bio2rdf.org/omim:183090,SPINOCEREBELLAR ATAXIA 2; SCA2
http://bio2rdf.org/omim:188030,"THROMBOCYTOPENIC PURPURA, AUTOIMMUNE; AITP"
http://bio2rdf.org/omim:188040,THROMBOMODULIN; THBD
http://bio2rdf.org/omim:188050,THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1
http://bio2rdf.org/omim:188055,THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2
http://bio2rdf.org/omim:188400,DIGEORGE SYNDROME; DGS
http://bio2rdf.org/omim:189800,PREECLAMPSIA/ECLAMPSIA 1; PEE1
http://bio2rdf.org/omim:190450,TRIOSEPHOSPHATE ISOMERASE 1; TPI1
http://bio2rdf.org/omim:191100,TUBEROUS SCLEROSIS 1; TSC1
http://bio2rdf.org/omim:192350,VATER/VACTERL ASSOCIATION
http://bio2rdf.org/omim:192500,LONG QT SYNDROME 1; LQT1
http://bio2rdf.org/omim:192600,"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1"
http://bio2rdf.org/omim:193200,VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 6; VAMAS6
http://bio2rdf.org/omim:193220,VITREORETINOCHOROIDOPATHY; VRCP
http://bio2rdf.org/omim:193230,"VITREORETINAL DEGENERATION, SNOWFLAKE TYPE; SVD"
http://bio2rdf.org/omim:193400,"VON WILLEBRAND DISEASE, TYPE 1; VWD1"
http://bio2rdf.org/omim:193500,"WAARDENBURG SYNDROME, TYPE 1; WS1"
http://bio2rdf.org/omim:193510,"WAARDENBURG SYNDROME, TYPE 2A; WS2A"
http://bio2rdf.org/omim:193520,WATSON SYNDROME
http://bio2rdf.org/omim:201000,CARPENTER SYNDROME 1; CRPT1
http://bio2rdf.org/omim:201300,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIA"
http://bio2rdf.org/omim:201450,"ACYL-CoA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF; ACADMD"
http://bio2rdf.org/omim:201470,"ACYL-CoA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF; ACADSD"
http://bio2rdf.org/omim:201475,"ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF; ACADVLD"
http://bio2rdf.org/omim:201710,LIPOID CONGENITAL ADRENAL HYPERPLASIA; LCAH
http://bio2rdf.org/omim:201750,ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS
http://bio2rdf.org/omim:201810,"3-BETA-HYDROXYSTEROID DEHYDROGENASE, TYPE II, DEFICIENCY OF"
http://bio2rdf.org/omim:201910,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY"
http://bio2rdf.org/omim:202010,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO STEROID 11-BETA-HYDROXYLASE DEFICIENCY"
http://bio2rdf.org/omim:202110,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY"
http://bio2rdf.org/omim:202400,"AFIBRINOGENEMIA, CONGENITAL"
http://bio2rdf.org/omim:203700,MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE); MTDPS4A
http://bio2rdf.org/omim:204000,LEBER CONGENITAL AMAUROSIS 1; LCA1
http://bio2rdf.org/omim:204100,LEBER CONGENITAL AMAUROSIS 2; LCA2
http://bio2rdf.org/omim:204200,"CEROID LIPOFUSCINOSIS, NEURONAL, 3; CLN3"
http://bio2rdf.org/omim:204300,"CEROID LIPOFUSCINOSIS, NEURONAL, 4A, AUTOSOMAL RECESSIVE; CLN4A"
http://bio2rdf.org/omim:204500,"CEROID LIPOFUSCINOSIS, NEURONAL, 2; CLN2"
http://bio2rdf.org/omim:205100,"AMYOTROPHIC LATERAL SCLEROSIS 2, JUVENILE; ALS2"
http://bio2rdf.org/omim:207410,ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS
http://bio2rdf.org/omim:207750,APOLIPOPROTEIN C-II DEFICIENCY
http://bio2rdf.org/omim:207800,ARGININEMIA
http://bio2rdf.org/omim:207900,ARGININOSUCCINIC ACIDURIA
http://bio2rdf.org/omim:208000,"ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY, 1; GACI1"
http://bio2rdf.org/omim:208400,ASPARTYLGLUCOSAMINURIA; AGU
http://bio2rdf.org/omim:208900,ATAXIA-TELANGIECTASIA; AT
http://bio2rdf.org/omim:208920,"ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA; EAOH"
http://bio2rdf.org/omim:209300,ATRANSFERRINEMIA
http://bio2rdf.org/omim:209850,AUTISM
http://bio2rdf.org/omim:209880,"CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS"
http://bio2rdf.org/omim:210370,BIETTI CRYSTALLINE CORNEORETINAL DYSTROPHY
http://bio2rdf.org/omim:211600,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 1; PFIC1"
http://bio2rdf.org/omim:211800,CALCIFICATION OF JOINTS AND ARTERIES; CALJA
http://bio2rdf.org/omim:211900,"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL; HFTC"
http://bio2rdf.org/omim:211980,LUNG CANCER
http://bio2rdf.org/omim:212050,"CANDIDIASIS, FAMILIAL, 2"
http://bio2rdf.org/omim:212138,CARNITINE-ACYLCARNITINE TRANSLOCASE DEFICIENCY; CACTD
http://bio2rdf.org/omim:212140,"CARNITINE DEFICIENCY, SYSTEMIC PRIMARY; CDSP"
http://bio2rdf.org/omim:213700,CEREBROTENDINOUS XANTHOMATOSIS; CTX
http://bio2rdf.org/omim:214400,"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4A; CMT4A"
http://bio2rdf.org/omim:214950,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 4; CBAS4"
http://bio2rdf.org/omim:215700,"CITRULLINEMIA, CLASSIC"
http://bio2rdf.org/omim:217000,COMPLEMENT COMPONENT 2 DEFICIENCY
http://bio2rdf.org/omim:218040,COSTELLO SYNDROME; CSTLO
http://bio2rdf.org/omim:218600,BALLER-GEROLD SYNDROME; BGS
http://bio2rdf.org/omim:218800,"CRIGLER-NAJJAR SYNDROME, TYPE I"
http://bio2rdf.org/omim:219050,"CRYPTORCHIDISM, UNILATERAL OR BILATERAL"
http://bio2rdf.org/omim:219090,"PITUITARY ADENOMA, ACTH-SECRETING"
http://bio2rdf.org/omim:219150,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA; ARCL3A"
http://bio2rdf.org/omim:219700,CYSTIC FIBROSIS; CF
http://bio2rdf.org/omim:220110,MITOCHONDRIAL COMPLEX IV DEFICIENCY
http://bio2rdf.org/omim:220111,"LEIGH SYNDROME, FRENCH CANADIAN TYPE; LSFC"
http://bio2rdf.org/omim:220120,D-GLYCERIC ACIDURIA
http://bio2rdf.org/omim:220400,JERVELL AND LANGE-NIELSEN SYNDROME 1; JLNS1
http://bio2rdf.org/omim:221350,"DEAFNESS, CONGENITAL, WITH VITILIGO AND ACHALASIA"
http://bio2rdf.org/omim:221750,"PITUITARY HORMONE DEFICIENCY, COMBINED, 3; CPHD3"
http://bio2rdf.org/omim:222100,"DIABETES MELLITUS, INSULIN-DEPENDENT; IDDM"
http://bio2rdf.org/omim:222700,LYSINURIC PROTEIN INTOLERANCE; LPI
http://bio2rdf.org/omim:222800,BISPHOSPHOGLYCERATE MUTASE DEFICIENCY
http://bio2rdf.org/omim:223100,"LACTOSE INTOLERANCE, ADULT TYPE"
http://bio2rdf.org/omim:223900,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE III; HSAN3"
http://bio2rdf.org/omim:225060,CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME; CLPED1
http://bio2rdf.org/omim:225320,"EHLERS-DANLOS SYNDROME, AUTOSOMAL RECESSIVE, CARDIAC VALVULAR FORM"
http://bio2rdf.org/omim:225400,"EHLERS-DANLOS SYNDROME, TYPE VI; EDS6"
http://bio2rdf.org/omim:225410,"EHLERS-DANLOS SYNDROME, TYPE VII, AUTOSOMAL RECESSIVE"
http://bio2rdf.org/omim:226650,"EPIDERMOLYSIS BULLOSA, JUNCTIONAL, NON-HERLITZ TYPE"
http://bio2rdf.org/omim:226700,"EPIDERMOLYSIS BULLOSA, JUNCTIONAL, HERLITZ TYPE"
http://bio2rdf.org/omim:226730,EPIDERMOLYSIS BULLOSA JUNCTIONALIS WITH PYLORIC ATRESIA
http://bio2rdf.org/omim:227810,FANCONI-BICKEL SYNDROME; FBS
http://bio2rdf.org/omim:228000,FARBER LIPOGRANULOMATOSIS; FRBRL
http://bio2rdf.org/omim:228300,HYPOGONADOTROPIC HYPOGONADISM 23 WITHOUT ANOSMIA; HH23
http://bio2rdf.org/omim:229200,BRITTLE CORNEA SYNDROME 1; BCS1
http://bio2rdf.org/omim:229700,"FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY; FBP1D"
http://bio2rdf.org/omim:230000,FUCOSIDOSIS
http://bio2rdf.org/omim:230200,GALACTOKINASE DEFICIENCY
http://bio2rdf.org/omim:230350,GALACTOSE EPIMERASE DEFICIENCY
http://bio2rdf.org/omim:230450,"GAMMA-GLUTAMYLCYSTEINE SYNTHETASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO"
http://bio2rdf.org/omim:230500,"GM1-GANGLIOSIDOSIS, TYPE I"
http://bio2rdf.org/omim:230600,"GM1-GANGLIOSIDOSIS, TYPE II"
http://bio2rdf.org/omim:230650,"GM1-GANGLIOSIDOSIS, TYPE III"
http://bio2rdf.org/omim:230800,"GAUCHER DISEASE, TYPE I"
http://bio2rdf.org/omim:230900,"GAUCHER DISEASE, TYPE II"
http://bio2rdf.org/omim:231000,"GAUCHER DISEASE, TYPE III"
http://bio2rdf.org/omim:231005,"GAUCHER DISEASE, TYPE IIIC"
http://bio2rdf.org/omim:231530,3-HYDROXYACYL-CoA DEHYDROGENASE DEFICIENCY
http://bio2rdf.org/omim:231670,GLUTARIC ACIDEMIA I
http://bio2rdf.org/omim:231680,MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY; MADD
http://bio2rdf.org/omim:231690,GLUTARIC ACIDURIA III
http://bio2rdf.org/omim:231900,"GLUTATHIONE SYNTHETASE DEFICIENCY OF ERYTHROCYTES, HEMOLYTIC ANEMIA DUE TO; GSSDE"
http://bio2rdf.org/omim:232200,GLYCOGEN STORAGE DISEASE Ia; GSD1A
http://bio2rdf.org/omim:232220,GLYCOGEN STORAGE DISEASE Ib; GSD1B
http://bio2rdf.org/omim:232240,GLYCOGEN STORAGE DISEASE Ic
http://bio2rdf.org/omim:232300,GLYCOGEN STORAGE DISEASE II; GSD2
http://bio2rdf.org/omim:232400,GLYCOGEN STORAGE DISEASE III; GSD3
http://bio2rdf.org/omim:232500,GLYCOGEN STORAGE DISEASE IV; GSD4
http://bio2rdf.org/omim:232600,GLYCOGEN STORAGE DISEASE V; GSD5
http://bio2rdf.org/omim:232700,GLYCOGEN STORAGE DISEASE VI; GSD6
http://bio2rdf.org/omim:232800,GLYCOGEN STORAGE DISEASE VII; GSD7
http://bio2rdf.org/omim:233400,PERRAULT SYNDROME 1; PRLTS1
http://bio2rdf.org/omim:233650,COMBINED CELLULAR AND HUMORAL IMMUNE DEFECTS WITH GRANULOMAS; CCHIDG
http://bio2rdf.org/omim:233690,"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-NEGATIVE"
http://bio2rdf.org/omim:233700,"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE I"
http://bio2rdf.org/omim:233710,"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE II"
http://bio2rdf.org/omim:233910,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B; HPABH4B"
http://bio2rdf.org/omim:234200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1
http://bio2rdf.org/omim:235555,"BILE ACID SYNTHESIS DEFECT, CONGENITAL, 2; CBAS2"
http://bio2rdf.org/omim:235700,"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY"
http://bio2rdf.org/omim:236000,"LYMPHOMA, HODGKIN, CLASSIC; CHL"
